"","date","daily_vaccines"
"165","2024-01-25","[[0.001356],[0.001346],[0.00158],[0.000287],[0.001045]]"
"166","2024-01-26","[[0.001315],[0.001313],[0.001556],[0.000272],[0.001002]]"
"167","2024-01-27","[[0.001276],[0.001281],[0.001533],[0.000258],[0.00096]]"
"168","2024-01-28","[[0.001237],[0.001249],[0.001509],[0.000245],[0.00092]]"
"169","2024-01-29","[[0.001199],[0.001218],[0.001485],[0.000232],[0.000882]]"
"170","2024-01-30","[[0.001163],[0.001187],[0.001462],[0.00022],[0.000845]]"
"171","2024-01-31","[[0.001127],[0.001157],[0.001438],[0.000209],[0.00081]]"
"172","2024-02-01","[[0.001092],[0.001128],[0.001415],[0.000198],[0.000776]]"
"173","2024-02-02","[[0.001059],[0.001099],[0.001392],[0.000188],[0.000743]]"
"174","2024-02-03","[[0.001026],[0.001071],[0.001369],[0.000178],[0.000712]]"
"175","2024-02-04","[[0.000994],[0.001043],[0.001346],[0.000169],[0.000682]]"
"176","2024-02-05","[[0.000963],[0.001016],[0.001323],[0.00016],[0.000653]]"
"177","2024-02-06","[[0.000933],[0.00099],[0.0013],[0.000151],[0.000625]]"
"178","2024-02-07","[[0.000904],[0.000964],[0.001278],[0.000144],[0.000599]]"
"179","2024-02-08","[[0.000875],[0.000939],[0.001256],[0.000136],[0.000573]]"
"180","2024-02-09","[[0.000848],[0.000915],[0.001234],[0.000129],[0.000549]]"
"181","2024-02-10","[[0.000821],[0.000891],[0.001212],[0.000122],[0.000525]]"
"182","2024-02-11","[[0.000795],[0.000867],[0.00119],[0.000116],[0.000503]]"
"183","2024-02-12","[[0.00077],[0.000844],[0.001169],[0.00011],[0.000481]]"
"184","2024-02-13","[[0.000745],[0.000822],[0.001147],[0.000104],[0.000461]]"
"185","2024-02-14","[[0.000721],[0.0008],[0.001126],[0.000099],[0.000441]]"
"186","2024-02-15","[[0.000698],[0.000779],[0.001106],[0.000093],[0.000422]]"
"187","2024-02-16","[[0.000676],[0.000758],[0.001085],[0.000089],[0.000404]]"
"188","2024-02-17","[[0.000654],[0.000738],[0.001065],[0.000084],[0.000387]]"
"189","2024-02-18","[[0.000633],[0.000718],[0.001044],[0.00008],[0.00037]]"
"190","2024-02-19","[[0.000613],[0.000699],[0.001025],[0.000075],[0.000354]]"
"191","2024-02-20","[[0.000593],[0.00068],[0.001005],[0.000071],[0.000339]]"
"192","2024-02-21","[[0.000574],[0.000662],[0.000985],[0.000068],[0.000324]]"
"193","2024-02-22","[[0.000555],[0.000644],[0.000966],[0.000064],[0.00031]]"
"194","2024-02-23","[[0.000537],[0.000626],[0.000947],[0.000061],[0.000297]]"
"195","2024-02-24","[[0.00052],[0.000609],[0.000929],[0.000058],[0.000284]]"
"196","2024-02-25","[[0.000503],[0.000592],[0.00091],[0.000055],[0.000272]]"
"197","2024-02-26","[[0.000486],[0.000576],[0.000892],[0.000052],[0.00026]]"
"198","2024-02-27","[[0.000471],[0.00056],[0.000874],[0.000049],[0.000249]]"
"199","2024-02-28","[[0.000455],[0.000545],[0.000857],[0.000046],[0.000238]]"
"200","2024-02-29","[[0.00044],[0.00053],[0.000839],[0.000044],[0.000227]]"
"201","2024-03-01","[[0.000426],[0.000516],[0.000822],[0.000042],[0.000218]]"
"202","2024-03-02","[[0.000412],[0.000501],[0.000806],[0.000039],[0.000208]]"
"203","2024-03-03","[[0.000398],[0.000487],[0.000789],[0.000037],[0.000199]]"
"204","2024-03-04","[[0.000385],[0.000474],[0.000773],[0.000035],[0.00019]]"
"205","2024-03-05","[[0.000373],[0.000461],[0.000757],[0.000034],[0.000182]]"
"206","2024-03-06","[[0.00036],[0.000448],[0.000741],[0.000032],[0.000174]]"
"207","2024-03-07","[[0.000348],[0.000436],[0.000725],[0.00003],[0.000167]]"
"208","2024-03-08","[[0.000337],[0.000423],[0.00071],[0.000029],[0.000159]]"
"209","2024-03-09","[[0.000326],[0.000412],[0.000695],[0.000027],[0.000152]]"
"210","2024-03-10","[[0.000315],[0.0004],[0.00068],[0.000026],[0.000146]]"
"211","2024-03-11","[[0.000305],[0.000389],[0.000666],[0.000024],[0.000139]]"
"212","2024-03-12","[[0.000294],[0.000378],[0.000652],[0.000023],[0.000133]]"
"213","2024-03-13","[[0.000285],[0.000367],[0.000638],[0.000022],[0.000128]]"
"214","2024-03-14","[[0.000275],[0.000357],[0.000624],[0.000021],[0.000122]]"
"215","2024-03-15","[[0.000266],[0.000347],[0.00061],[0.00002],[0.000117]]"
"216","2024-03-16","[[0.000257],[0.000337],[0.000597],[0.000019],[0.000112]]"
"217","2024-03-17","[[0.000249],[0.000328],[0.000584],[0.000018],[0.000107]]"
"218","2024-03-18","[[0.00024],[0.000319],[0.000571],[0.000017],[0.000102]]"
"219","2024-03-19","[[0.000232],[0.00031],[0.000559],[0.000016],[0.000098]]"
"220","2024-03-20","[[0.000225],[0.000301],[0.000546],[0.000015],[0.000093]]"
"221","2024-03-21","[[0.000217],[0.000292],[0.000534],[0.000014],[0.000089]]"
"222","2024-03-22","[[0.00021],[0.000284],[0.000522],[0.000013],[0.000085]]"
"223","2024-03-23","[[0.000203],[0.000276],[0.000511],[0.000013],[0.000082]]"
"224","2024-03-24","[[0.000196],[0.000268],[0.000499],[0.000012],[0.000078]]"
"225","2024-03-25","[[0.000189],[0.000261],[0.000488],[0.000011],[0.000075]]"
"226","2024-03-26","[[0.000183],[0.000253],[0.000477],[0.000011],[0.000071]]"
"227","2024-03-27","[[0.000177],[0.000246],[0.000467],[0.00001],[0.000068]]"
"228","2024-03-28","[[0.000171],[0.000239],[0.000456],[0.00001],[0.000065]]"
"229","2024-03-29","[[0.000165],[0.000232],[0.000446],[0.000009],[0.000062]]"
"230","2024-03-30","[[0.00016],[0.000226],[0.000436],[0.000009],[0.00006]]"
"231","2024-03-31","[[0.000154],[0.000219],[0.000426],[0.000008],[0.000057]]"
"232","2024-04-01","[[0.000149],[0.000213],[0.000416],[0.000008],[0.000054]]"
"233","2024-04-02","[[0.000144],[0.000207],[0.000407],[0.000007],[0.000052]]"
"234","2024-04-03","[[0.000139],[0.000201],[0.000397],[0.000007],[0.00005]]"
"235","2024-04-04","[[0.000135],[0.000195],[0.000388],[0.000007],[0.000048]]"
"236","2024-04-05","[[0.00013],[0.000189],[0.000379],[0.000006],[0.000046]]"
"237","2024-04-06","[[0.000126],[0.000184],[0.000371],[0.000006],[0.000044]]"
"238","2024-04-07","[[0.000122],[0.000179],[0.000362],[0.000006],[0.000042]]"
"239","2024-04-08","[[0.000117],[0.000174],[0.000354],[0.000005],[0.00004]]"
"240","2024-04-09","[[0.000113],[0.000169],[0.000345],[0.000005],[0.000038]]"
"241","2024-04-10","[[0.00011],[0.000164],[0.000337],[0.000005],[0.000036]]"
"242","2024-04-11","[[0.000106],[0.000159],[0.00033],[0.000005],[0.000035]]"
"243","2024-04-12","[[0.000102],[0.000155],[0.000322],[0.000004],[0.000033]]"
"244","2024-04-13","[[0.000099],[0.00015],[0.000314],[0.000004],[0.000032]]"
"245","2024-04-14","[[0.000096],[0.000146],[0.000307],[0.000004],[0.00003]]"
"246","2024-04-15","[[0.000092],[0.000142],[0.0003],[0.000004],[0.000029]]"
"247","2024-04-16","[[0.000089],[0.000138],[0.000293],[0.000003],[0.000028]]"
"248","2024-04-17","[[0.000086],[0.000134],[0.000286],[0.000003],[0.000027]]"
"249","2024-04-18","[[0.000083],[0.00013],[0.000279],[0.000003],[0.000025]]"
"250","2024-04-19","[[0.000081],[0.000126],[0.000273],[0.000003],[0.000024]]"
"251","2024-04-20","[[0.000078],[0.000122],[0.000266],[0.000003],[0.000023]]"
"252","2024-04-21","[[0.000075],[0.000119],[0.00026],[0.000003],[0.000022]]"
"253","2024-04-22","[[0.000073],[0.000115],[0.000254],[0.000003],[0.000021]]"
"254","2024-04-23","[[0.00007],[0.000112],[0.000248],[0.000002],[0.00002]]"
"255","2024-04-24","[[0.000068],[0.000109],[0.000242],[0.000002],[0.000019]]"
"256","2024-04-25","[[0.000065],[0.000106],[0.000236],[0.000002],[0.000019]]"
"257","2024-04-26","[[0.000063],[0.000103],[0.000231],[0.000002],[0.000018]]"
"258","2024-04-27","[[0.000061],[0.0001],[0.000225],[0.000002],[0.000017]]"
"259","2024-04-28","[[0.000059],[0.000097],[0.00022],[0.000002],[0.000016]]"
"260","2024-04-29","[[0.000057],[0.000094],[0.000214],[0.000002],[0.000015]]"
"261","2024-04-30","[[0.000055],[0.000091],[0.000209],[0.000002],[0.000015]]"
"262","2024-05-01","[[0.000053],[0.000089],[0.000204],[0.000002],[0.000014]]"
"263","2024-05-02","[[0.000051],[0.000086],[0.000199],[0.000001],[0.000014]]"
"264","2024-05-03","[[0.00005],[0.000084],[0.000195],[0.000001],[0.000013]]"
"265","2024-05-04","[[0.000048],[0.000081],[0.00019],[0.000001],[0.000012]]"
"266","2024-05-05","[[0.000046],[0.000079],[0.000185],[0.000001],[0.000012]]"
"267","2024-05-06","[[0.000045],[0.000076],[0.000181],[0.000001],[0.000011]]"
"268","2024-05-07","[[0.000043],[0.000074],[0.000177],[0.000001],[0.000011]]"
"269","2024-05-08","[[0.000042],[0.000072],[0.000172],[0.000001],[0.00001]]"
"270","2024-05-09","[[0.00004],[0.00007],[0.000168],[0.000001],[0.00001]]"
"271","2024-05-10","[[0.000039],[0.000068],[0.000164],[0.000001],[0.000009]]"
"272","2024-05-11","[[0.000038],[0.000066],[0.00016],[0.000001],[0.000009]]"
"273","2024-05-12","[[0.000036],[0.000064],[0.000156],[0.000001],[0.000009]]"
"274","2024-05-13","[[0.000035],[0.000062],[0.000152],[0.000001],[0.000008]]"
"275","2024-05-14","[[0.000034],[0.00006],[0.000149],[0.000001],[0.000008]]"
"276","2024-05-15","[[0.000033],[0.000059],[0.000145],[0.000001],[0.000008]]"
"277","2024-05-16","[[0.000032],[0.000057],[0.000142],[0.000001],[0.000007]]"
"278","2024-05-17","[[0.000031],[0.000055],[0.000138],[0.000001],[0.000007]]"
"279","2024-05-18","[[0.00003],[0.000054],[0.000135],[0.000001],[0.000007]]"
"280","2024-05-19","[[0.000029],[0.000052],[0.000132],[0.000001],[0.000006]]"
"281","2024-05-20","[[0.000028],[0.000051],[0.000128],[0.000001],[0.000006]]"
"282","2024-05-21","[[0.000027],[0.000049],[0.000125],[0.000001],[0.000006]]"
"283","2024-05-22","[[0.000026],[0.000048],[0.000122],[0],[0.000006]]"
"284","2024-05-23","[[0.000025],[0.000046],[0.000119],[0],[0.000005]]"
